#{"t_start": 1579105986.026177, "env_id": "CartPole-v1"}
r,l,t
13.0,13,16.856936
11.0,11,16.897101
11.0,11,16.933739
18.0,18,16.995197
8.0,8,17.026095
20.0,20,17.099582
10.0,10,17.13535
9.0,9,17.168311
12.0,12,17.207887
22.0,22,17.284507
12.0,12,17.323689
12.0,12,17.36348
10.0,10,17.39529
70.0,70,17.642548
12.0,12,17.683307
12.0,12,17.726425
12.0,12,17.769143
11.0,11,17.808104
10.0,10,17.853471
10.0,10,17.896795
64.0,64,18.122329
119.0,119,18.564081
22.0,22,18.65111
11.0,11,18.698666
13.0,13,18.751264
10.0,10,18.790186
11.0,11,18.82978
10.0,10,18.864688
9.0,9,18.89571
82.0,82,19.185299
62.0,62,19.402404
12.0,12,19.446287
9.0,9,19.478403
9.0,9,19.50941
57.0,57,19.716986
41.0,41,19.866578
11.0,11,19.906531
21.0,21,19.979288
12.0,12,20.020132
14.0,14,20.070724
11.0,11,20.108272
11.0,11,20.144799
22.0,22,20.220886
9.0,9,20.251438
23.0,23,20.334241
119.0,119,20.777036
12.0,12,20.815238
9.0,9,20.845807
63.0,63,21.058208
8.0,8,21.083412
17.0,17,21.138124
44.0,44,21.279081
106.0,106,21.638933
10.0,10,21.676282
13.0,13,21.727084
16.0,16,21.788287
10.0,10,21.825957
10.0,10,21.862883
10.0,10,21.898527
73.0,73,22.162157
43.0,43,22.312988
41.0,41,22.448897
10.0,10,22.481502
171.0,171,23.067168
62.0,62,23.275143
137.0,137,23.729884
50.0,50,23.893983
14.0,14,23.959175
17.0,17,24.020172
24.0,24,24.104387
158.0,158,24.644484
10.0,10,24.677358
14.0,14,24.725797
107.0,107,25.08126
78.0,78,25.350135
145.0,145,25.82712
410.0,410,27.214751
135.0,135,27.685307
152.0,152,28.224487
90.0,90,28.519928
13.0,13,28.565016
70.0,70,28.799085
11.0,11,28.834749
79.0,79,29.098928
111.0,111,29.464205
45.0,45,29.611498
62.0,62,29.81749
248.0,248,30.65489
16.0,16,30.723562
120.0,120,31.160756
30.0,30,31.273996
30.0,30,31.381414
16.0,16,31.437777
500.0,500,33.13659
91.0,91,33.440483
95.0,95,33.766786
34.0,34,33.890245
111.0,111,34.386779
96.0,96,34.715914
145.0,145,35.218392
153.0,153,35.726057
249.0,249,36.560709
102.0,102,36.902595
101.0,101,37.276373
96.0,96,37.619777
115.0,115,38.065151
100.0,100,38.4182
118.0,118,38.831341
100.0,100,39.179602
136.0,136,39.641541
131.0,131,40.096218
100.0,100,40.436996
110.0,110,40.820339
135.0,135,41.297361
80.0,80,41.580285
99.0,99,41.944643
92.0,92,42.275053
136.0,136,42.747875
117.0,117,43.165515
92.0,92,43.497536
100.0,100,43.855369
100.0,100,44.18956
100.0,100,44.538053
124.0,124,44.991711
98.0,98,45.335669
118.0,118,45.732897
109.0,109,46.116149
125.0,125,46.551708
104.0,104,46.900042
138.0,138,47.36918
131.0,131,47.812622
106.0,106,48.17743
100.0,100,48.547399
131.0,131,48.997237
146.0,146,49.520234
136.0,136,50.00906
110.0,110,50.396129
115.0,115,50.79072
104.0,104,51.160523
97.0,97,51.501181
96.0,96,51.843722
94.0,94,52.169377
149.0,149,52.672277
104.0,104,53.034618
104.0,104,53.421886
102.0,102,53.789666
112.0,112,54.204521
120.0,120,54.606978
104.0,104,54.973563
112.0,112,55.399344
101.0,101,55.756905
102.0,102,56.11871
96.0,96,56.458536
108.0,108,56.830533
121.0,121,57.316077
201.0,201,58.141694
113.0,113,58.531073
113.0,113,58.912751
106.0,106,59.302431
81.0,81,59.579805
62.0,62,59.790515
126.0,126,60.250246
90.0,90,60.568562
129.0,129,61.031478
94.0,94,61.377949
138.0,138,61.857807
117.0,117,62.286484
91.0,91,62.640157
89.0,89,62.970289
122.0,122,63.3822
296.0,296,64.418135
127.0,127,64.837814
102.0,102,65.168235
105.0,105,65.511554
87.0,87,65.783867
103.0,103,66.127448
93.0,93,66.436635
295.0,295,67.379679
115.0,115,67.856718
99.0,99,68.172294
147.0,147,68.635648
93.0,93,68.932821
155.0,155,69.431663
166.0,166,69.962622
160.0,160,70.470355
184.0,184,71.065544
128.0,128,71.465772
176.0,176,72.041948
126.0,126,72.501964
101.0,101,72.858228
182.0,182,73.466943
111.0,111,73.820494
117.0,117,74.207155
112.0,112,74.580343
100.0,100,74.901418
154.0,154,75.393256
103.0,103,75.731222
146.0,146,76.217195
144.0,144,76.681515
96.0,96,76.989292
120.0,120,77.40782
149.0,149,77.885902
96.0,96,78.212009
141.0,141,78.695693
98.0,98,79.022783
124.0,124,79.423947
140.0,140,79.862231
119.0,119,80.237246
500.0,500,81.831822
166.0,166,82.373108
97.0,97,82.683108
90.0,90,82.966315
85.0,85,83.259084
72.0,72,83.491388
155.0,155,84.020496
76.0,76,84.335724
81.0,81,84.626583
43.0,43,84.774307
109.0,109,85.119414
100.0,100,85.431624
95.0,95,85.730888
479.0,479,87.283382
102.0,102,87.632646
150.0,150,88.12723
90.0,90,88.411193
241.0,241,89.195934
106.0,106,89.552176
96.0,96,89.88098
500.0,500,91.520715
91.0,91,91.804341
144.0,144,92.286209
34.0,34,92.394572
194.0,194,93.007842
115.0,115,93.368265
111.0,111,93.73834
103.0,103,94.064945
94.0,94,94.360496
500.0,500,95.980102
97.0,97,96.290474
222.0,222,97.017042
81.0,81,97.294935
74.0,74,97.556493
69.0,69,97.795567
90.0,90,98.106137
88.0,88,98.390436
78.0,78,98.637108
127.0,127,99.09445
93.0,93,99.395878
21.0,21,99.463036
171.0,171,100.006454
92.0,92,100.307436
107.0,107,100.643118
101.0,101,100.969289
101.0,101,101.290175
90.0,90,101.57665
126.0,126,101.977774
102.0,102,102.307409
114.0,114,102.678045
87.0,87,102.971801
182.0,182,103.590857
147.0,147,104.07127
76.0,76,104.311702
130.0,130,104.720331
160.0,160,105.227189
38.0,38,105.366479
88.0,88,105.648882
99.0,99,105.96287
163.0,163,106.48017
138.0,138,106.929947
91.0,91,107.221221
110.0,110,107.581343
100.0,100,107.900902
130.0,130,108.326716
97.0,97,108.65032
96.0,96,108.982142
111.0,111,109.3621
166.0,166,109.957996
205.0,205,110.676377
132.0,132,111.104479
500.0,500,112.681011
500.0,500,114.332626
106.0,106,114.682254
500.0,500,116.42303
124.0,124,116.832211
106.0,106,117.185349
500.0,500,118.807104
108.0,108,119.160313
91.0,91,119.450413
101.0,101,119.79698
106.0,106,120.169647
113.0,113,120.556824
162.0,162,121.099026
500.0,500,122.71581
109.0,109,123.078228
95.0,95,123.390305
94.0,94,123.690371
100.0,100,124.012802
201.0,201,124.647197
126.0,126,125.044068
108.0,108,125.402294
101.0,101,125.724082
93.0,93,126.019661
145.0,145,126.481909
99.0,99,126.789027
97.0,97,127.099065
95.0,95,127.400936
111.0,111,127.782966
83.0,83,128.070076
179.0,179,128.678134
97.0,97,129.009012
100.0,100,129.349532
140.0,140,129.827292
109.0,109,130.196905
224.0,224,130.958564
91.0,91,131.274915
407.0,407,132.642297
85.0,85,132.927837
500.0,500,134.547466
92.0,92,134.8481
83.0,83,135.160824
227.0,227,135.917915
103.0,103,136.256795
111.0,111,136.653245
225.0,225,137.383048
107.0,107,137.721989
186.0,186,138.359379
134.0,134,138.784588
95.0,95,139.082732
449.0,449,140.589424
270.0,270,141.520116
88.0,88,141.804286
93.0,93,142.103755
136.0,136,142.533337
145.0,145,142.995017
176.0,176,143.559017
82.0,82,143.817752
139.0,139,144.284308
164.0,164,144.827479
393.0,393,146.126877
500.0,500,147.763637
117.0,117,148.148973
121.0,121,148.550627
500.0,500,150.175824
125.0,125,150.589604
174.0,174,151.150285
411.0,411,152.452384
479.0,479,154.021877
206.0,206,154.707501
157.0,157,155.241287
124.0,124,155.645494
500.0,500,157.357055
307.0,307,158.416377
105.0,105,158.766454
182.0,182,159.36748
323.0,323,160.398136
19.0,19,160.457691
184.0,184,161.092196
116.0,116,161.47315
162.0,162,162.063162
106.0,106,162.419962
118.0,118,162.81115
122.0,122,163.231576
122.0,122,163.659236
431.0,431,165.115773
126.0,126,165.52998
242.0,242,166.364018
216.0,216,167.119693
98.0,98,167.447606
500.0,500,169.115922
242.0,242,169.925898
500.0,500,171.561855
122.0,122,171.971596
134.0,134,172.403138
359.0,359,173.625452
119.0,119,174.028599
139.0,139,174.49352
500.0,500,176.209677
500.0,500,177.93812
172.0,172,178.506978
151.0,151,178.996884
130.0,130,179.441115
151.0,151,179.960675
129.0,129,180.401851
189.0,189,181.063562
318.0,318,182.142184
172.0,172,182.706428
500.0,500,184.404354
313.0,313,185.461151
435.0,435,186.873506
28.0,28,186.963439
128.0,128,187.374606
305.0,305,188.364976
123.0,123,188.763543
500.0,500,190.395078
198.0,198,191.073188
213.0,213,191.807936
500.0,500,193.531211
163.0,163,194.078432
425.0,425,195.516307
500.0,500,197.273818
500.0,500,198.995184
500.0,500,200.650549
25.0,25,200.731724
500.0,500,202.390936
183.0,183,203.010856
170.0,170,203.585915
500.0,500,205.212319
101.0,101,205.556578
207.0,207,206.240596
260.0,260,207.096725
151.0,151,207.589249
13.0,13,207.631321
411.0,411,209.071671
203.0,203,209.766935
26.0,26,209.852732
56.0,56,210.042937
500.0,500,211.671476
16.0,16,211.727428
82.0,82,212.020938
208.0,208,212.749463
500.0,500,214.451031
339.0,339,215.688691
13.0,13,215.731937
24.0,24,215.811464
12.0,12,215.851715
14.0,14,215.897446
17.0,17,215.952748
12.0,12,215.992024
12.0,12,216.032814
13.0,13,216.076414
113.0,113,216.464129
17.0,17,216.528585
86.0,86,216.841677
14.0,14,216.890609
169.0,169,217.436875
14.0,14,217.481446
16.0,16,217.533091
158.0,158,218.045325
12.0,12,218.084777
43.0,43,218.227678
500.0,500,219.838802
25.0,25,219.921031
130.0,130,220.35069
500.0,500,222.051995
253.0,253,222.870376
22.0,22,222.942581
20.0,20,223.010083
500.0,500,224.698595
500.0,500,226.395621
500.0,500,228.086938
500.0,500,229.75382
206.0,206,230.433906
69.0,69,230.658826
500.0,500,232.363889
252.0,252,233.194332
13.0,13,233.236808
500.0,500,234.851481
13.0,13,234.894173
333.0,333,235.972983
12.0,12,236.01727
11.0,11,236.055891
47.0,47,236.212588
10.0,10,236.245532
11.0,11,236.283295
9.0,9,236.312719
138.0,138,236.757867
500.0,500,238.379424
13.0,13,238.421594
127.0,127,238.831527
500.0,500,240.459403
140.0,140,240.916403
500.0,500,242.536348
141.0,141,242.994074
500.0,500,244.613187
124.0,124,245.014829
137.0,137,245.464474
113.0,113,245.837129
500.0,500,247.474656
15.0,15,247.523156
415.0,415,248.86617
500.0,500,250.480286
500.0,500,252.096258
204.0,204,252.752543
500.0,500,254.365707
152.0,152,254.864351
500.0,500,256.520642
26.0,26,256.606825
82.0,82,256.881782
500.0,500,258.596268
53.0,53,258.783115
116.0,116,259.164396
500.0,500,260.837698
500.0,500,262.504419
17.0,17,262.55761
500.0,500,264.237229
20.0,20,264.302642
500.0,500,265.922654
114.0,114,266.294212
21.0,21,266.366519
158.0,158,266.874204
129.0,129,267.289743
500.0,500,268.918955
74.0,74,269.161349
500.0,500,270.837695
500.0,500,272.58316
159.0,159,273.119035
96.0,96,273.438889
500.0,500,275.130825
500.0,500,276.736862
108.0,108,277.082274
500.0,500,278.733378
93.0,93,279.035833
192.0,192,279.650927
500.0,500,281.27703
500.0,500,282.950209
500.0,500,284.589325
157.0,157,285.101051
96.0,96,285.410126
500.0,500,287.057318
132.0,132,287.512205
180.0,180,288.137702
94.0,94,288.481491
16.0,16,288.54534
16.0,16,288.605982
106.0,106,288.96847
500.0,500,290.574694
180.0,180,291.145724
500.0,500,292.752637
500.0,500,294.397551
436.0,436,295.815121
500.0,500,297.416492
23.0,23,297.488946
30.0,30,297.584145
18.0,18,297.641975
144.0,144,298.120366
500.0,500,299.734654
500.0,500,301.341329
500.0,500,302.960557
133.0,133,303.393091
119.0,119,303.768172
324.0,324,304.868206
500.0,500,306.559705
500.0,500,308.246332
136.0,136,308.709315
18.0,18,308.771833
123.0,123,309.212051
500.0,500,310.886411
347.0,347,312.039088
500.0,500,313.716863
99.0,99,314.054562
89.0,89,314.33775
108.0,108,314.687293
225.0,225,315.423592
31.0,31,315.52599
188.0,188,316.145477
500.0,500,317.76055
323.0,323,318.87115
101.0,101,319.221813
102.0,102,319.570902
16.0,16,319.626072
500.0,500,321.341743
500.0,500,323.055501
500.0,500,324.786728
500.0,500,326.482022
142.0,142,326.966498
500.0,500,328.618027
500.0,500,330.344632
500.0,500,332.004852
500.0,500,333.60081
105.0,105,333.934974
111.0,111,334.292704
